Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990_total,1995_total,2000_total,2005_total,2010_total,2015_total,2020_total,2024_total,1990_males,1995_males,2000_males,2005_males,2010_males,2015_males,2020_males,2024_males,1990_females,1995_females,2000_females,2005_females,2010_females,2015_females,2020_females,2024_females
6459,Burundi,,B R,108,Kenya,404,82,94,87,219,370,450,533,598,82,94,87,219,370,450,533,598,82,94,87,219,370,450,533,598
6460,Burundi,,B R,108,Rwanda,646,113171,82134,34127,32291,30008,35223,41839,46977,113171,82134,34127,32291,30008,35223,41839,46977,113171,82134,34127,32291,30008,35223,41839,46977
6461,Burundi,,B R,108,Uganda,800,935,793,488,380,305,371,439,493,935,793,488,380,305,371,439,493,935,793,488,380,305,371,439,493
6462,Burundi,,B R,108,United Republic of Tanzania,834,6074,5017,2924,7283,12289,14971,17783,19966,6074,5017,2924,7283,12289,14971,17783,19966,6074,5017,2924,7283,12289,14971,17783,19966
6464,Burundi,,B R,108,Democratic Republic of the Congo,180,18691,21295,19500,49131,72512,86279,97828,109840,18691,21295,19500,49131,72512,86279,97828,109840,18691,21295,19500,49131,72512,86279,97828,109840
6467,Burundi,,B R,108,Belgium,56,327,318,244,242,261,317,375,421,327,318,244,242,261,317,375,421,327,318,244,242,261,317,375,421
6468,Burundi,,B R,108,France*,250,164,159,121,120,129,157,184,207,164,159,121,120,129,157,184,207,164,159,121,120,129,157,184,207
6487,Comoros,,B,174,Kenya,404,47,47,47,45,43,42,40,40,47,47,47,45,43,42,40,40,47,47,47,45,43,42,40,40
6488,Comoros,,B,174,Madagascar,450,5803,5772,5744,5454,5168,5112,5086,5067,5803,5772,5744,5454,5168,5112,5086,5067,5803,5772,5744,5454,5168,5112,5086,5067
6489,Comoros,,B,174,Réunion,638,450,448,445,423,400,395,392,391,450,448,445,423,400,395,392,391,450,448,445,423,400,395,392,391
6490,Comoros,,B,174,United Republic of Tanzania,834,84,84,83,79,75,74,72,71,84,84,83,79,75,74,72,71,84,84,83,79,75,74,72,71
6493,Comoros,,B,174,France*,250,233,232,231,220,208,205,203,202,233,232,231,220,208,205,203,202,233,232,231,220,208,205,203,202
6507,Djibouti,,B R,262,Ethiopia,231,7494,6114,6151,5271,6287,6491,7016,7382,7494,6114,6151,5271,6287,6491,7016,7382,7494,6114,6151,5271,6287,6491,7016,7382
6508,Djibouti,,B R,262,Somalia,706,47098,38421,38656,33127,39512,40794,44100,46406,47098,38421,38656,33127,39512,40794,44100,46406,47098,38421,38656,33127,39512,40794,44100,46406
6511,Djibouti,,B R,262,Yemen,887,150,122,123,106,125,3183,2727,2870,150,122,123,106,125,3183,2727,2870,150,122,123,106,125,3183,2727,2870
6536,Eritrea,,I R,232,Burundi,108,312,552,792,560,398,485,417,374,312,552,792,560,398,485,417,374,312,552,792,560,398,485,417,374
6537,Eritrea,,I R,232,Comoros,174,21,34,48,61,75,91,77,69,21,34,48,61,75,91,77,69,21,34,48,61,75,91,77,69
6538,Eritrea,,I R,232,Ethiopia,231,616,330,43,722,42,50,42,38,616,330,43,722,42,50,42,38,616,330,43,722,42,50,42,38
6539,Eritrea,,I R,232,Kenya,404,62,81,100,109,122,148,126,113,62,81,100,109,122,148,126,113,62,81,100,109,122,148,126,113
6540,Eritrea,,I R,232,Malawi,454,75,127,180,228,281,343,294,264,75,127,180,228,281,343,294,264,75,127,180,228,281,343,294,264
6541,Eritrea,,I R,232,Mozambique,508,1724,1137,546,523,533,649,558,501,1724,1137,546,523,533,649,558,501,1724,1137,546,523,533,649,558,501
6542,Eritrea,,I R,232,Rwanda,646,451,337,223,206,203,247,211,189,451,337,223,206,203,247,211,189,451,337,223,206,203,247,211,189
6543,Eritrea,,I R,232,Somalia,706,697,738,778,1701,2270,1189,1021,918,697,738,778,1701,2270,1189,1021,918,697,738,778,1701,2270,1189,1021,918
6544,Eritrea,,I R,232,South Sudan,728,439,497,554,469,424,516,444,399,439,497,554,469,424,516,444,399,439,497,554,469,424,516,444,399
6545,Eritrea,,I R,232,Uganda,800,66,255,444,424,430,523,450,404,66,255,444,424,430,523,450,404,66,255,444,424,430,523,450,404
