region,code
World,900
Sub-Saharan Africa,1834
Northern Africa and Western Asia,1833
Central and Southern Asia,1831
Eastern and South-Eastern Asia,1832
Latin America and the Caribbean,1830
Oceania (excluding Australia and New Zealand),1835
Australia/New Zealand,1836
Europe and Northern America,1829
More developed regions,901
Less developed regions,902
Least developed countries,941
"Less developed regions, excluding least developed countries",934
"Less developed regions, excluding China",948
Land-locked Developing Countries (LLDC),1636
Small Island Developing States (SIDS),1637
High-and-upper-middle-income countries,5503
Low-and-Lower-middle-income countries,5504
High-income countries,1503
Low-and-middle-income countries,1859
Middle-income countries,1517
Upper-middle-income countries,1502
Lower-middle-income countries,1501
Low-income countries,1500
No income group available,1518
AFRICA,903
Eastern Africa,910
Burundi,108
Comoros,174
Djibouti,262
Eritrea,232
Ethiopia,231
Kenya,404
Madagascar,450
Malawi,454
Mauritius,480
Mayotte,175
Mozambique,508
Reunion,638
Rwanda,646
Seychelles,690
Somalia,706
South Sudan,728
Uganda,800
Tanzania,834
Zambia,894
Zimbabwe,716
Middle Africa,911
Angola,24
Cameroon,120
Central African Republic,140
Chad,148
Congo,178
Democratic Republic of the Congo,180
Equatorial Guinea,226
Gabon,266
Sao Tome and Principe,678
Northern Africa,912
Algeria,12
Egypt,818
Libya,434
Morocco,504
Sudan,729
Tunisia,788
Western Sahara,732
Southern Africa,913
Botswana,72
Eswatini,748
Lesotho,426
Namibia,516
South Africa,710
Western Africa,914
Benin,204
Burkina Faso,854
Cabo Verde,132
Ivory Coast,384
Gambia,270
Ghana,288
Guinea,324
Guinea-Bissau,624
Liberia,430
Mali,466
Mauritania,478
Niger,562
Nigeria,566
Saint Helena,654
Senegal,686
Sierra Leone,694
Togo,768
ASIA,935
Central Asia,5500
Kazakhstan,398
Kyrgyzstan,417
Tajikistan,762
Turkmenistan,795
Uzbekistan,860
Eastern Asia,906
China,156
"China, Hong Kong SAR",344
"China, Macao SAR",446
"China, Taiwan Province of China",158
North Korea,408
Japan,392
Mongolia,496
South Korea,410
Southern Asia,5501
Afghanistan,4
Bangladesh,50
Bhutan,64
India,356
Iran,364
Maldives,462
Nepal,524
Pakistan,586
Sri Lanka,144
South-Eastern Asia,920
Brunei,96
Cambodia,116
Indonesia,360
Laos,418
Malaysia,458
Myanmar,104
Philippines,608
Singapore,702
Thailand,764
Timor-Leste,626
Vietnam,704
Western Asia,922
Armenia,51
Azerbaijan,31
Bahrain,48
Cyprus,196
Georgia,268
Iraq,368
Israel,376
Jordan,400
Kuwait,414
Lebanon,422
Oman,512
Qatar,634
Saudi Arabia,682
Palestine,275
Syria,760
Turkey,792
United Arab Emirates,784
Yemen,887
EUROPE,908
Eastern Europe,923
Belarus,112
Bulgaria,100
Czech Republic,203
Hungary,348
Poland,616
Republic of Moldova,498
Romania,642
Russia,643
Slovakia,703
Ukraine,804
Northern Europe,924
Channel Islands,830
Denmark,208
Estonia,233
Faroe Islands,234
Finland,246
Iceland,352
Ireland,372
Isle of Man,833
Latvia,428
Lithuania,440
Norway,578
Sweden,752
United Kingdom,826
Southern Europe,925
Albania,8
Andorra,20
Bosnia and Herzegovina,70
Croatia,191
Gibraltar,292
Greece,300
Holy See,336
Italy,380
Malta,470
Montenegro,499
North Macedonia,807
Portugal,620
San Marino,674
Serbia,688
Slovenia,705
Spain,724
Western Europe,926
Austria,40
Belgium,56
France,250
Germany,276
Liechtenstein,438
Luxembourg,442
Monaco,492
Netherlands,528
Switzerland,756
LATIN AMERICA AND THE CARIBBEAN,904
Caribbean,915
Anguilla,660
Antigua and Barbuda,28
Aruba,533
Bahamas,44
Barbados,52
"Bonaire, Sint Eustatius and Saba",535
British Virgin Islands,92
Cayman Islands,136
Cuba,192
Curaçao,531
Dominica,212
Dominican Republic,214
Grenada,308
Guadeloupe,312
Haiti,332
Jamaica,388
Martinique,474
Montserrat,500
Puerto Rico,630
Saint Barthélemy,652
Saint Kitts and Nevis,659
Saint Lucia,662
Saint Martin (French part),663
Saint Vincent and the Grenadines,670
Sint Maarten (Dutch part),534
Trinidad and Tobago,780
Turks and Caicos Islands,796
United States Virgin Islands,850
Central America,916
Belize,84
Costa Rica,188
El Salvador,222
Guatemala,320
Honduras,340
Mexico,484
Nicaragua,558
Panama,591
South America,931
Argentina,32
Bolivia,68
Brazil,76
Chile,152
Colombia,170
Ecuador,218
Falkland Islands (Malvinas),238
French Guiana,254
Guyana,328
Paraguay,600
Peru,604
Suriname,740
Uruguay,858
Venezuela,862
NORTHERN AMERICA,905
Bermuda,60
Canada,124
Greenland,304
Saint Pierre and Miquelon,666
United States of America,840
OCEANIA,909
Australia,927
New Zealand,36
Melanesia,554
Fiji,928
New Caledonia,242
Papua New Guinea,540
Solomon Islands,598
Vanuatu,90
Micronesia,548
Guam,954
Kiribati,316
Marshall Islands,296
Micronesia (Fed. States of),584
Nauru,583
Northern Mariana Islands,520
Palau,580
Polynesia,585
American Samoa,957
Cook Islands,16
French Polynesia,184
Niue,258
Samoa,570
Tokelau,882
Tonga,772
Tuvalu,776
Wallis and Futuna Islands,798
Others,876
,2003
